Ref_base,Ref_roll
MXG_27244448,STELLA_7312518087
MXG_29276726,STELLA_7312728082
MXG_29843153,STELLA_7312803019
MXG_30324854,STELLA_7312806364
MXG_30325068,STELLA_7312764908
MXG_32550056,STELLA_7312809735
MXG_32680542,STELLA_7312806791
MXG_42737760,STELLA_7312806054
MXG_45672737,STELLA_7312815456
MXG_45871611,STELLA_7312794149
MXG_45872147,STELLA_7312809327
MXG_45961449,STELLA_7312770757
MXG_45961850,STELLA_7312755397
MXG_46042349,STELLA_7312743179
MXG_46042464,STELLA_7312809823
MXG_46076587,STELLA_7312740928
MXG_47027647,STELLA_7312731096
MXG_47027648,STELLA_7312731097
MXG_47027649,STELLA_7312731098
MXG_47131115,STELLA_7312776370
MXG_47161476,STELLA_7312782943
MXG_48702157,STELLA_7312809314
MXG_53760308,STELLA_7312812498
MXG_53801422,STELLA_7312788831
MXG_55741418,STELLA_7312755045
MXG_55741570,STELLA_7312734832
MXG_55741677,STELLA_7312803181
MXG_55916854,STELLA_7312785555
MXG_56030887,STELLA_7312788777
MXG_56294169,STELLA_7312776343
MXG_59817855,STELLA_7312728395
MXG_59853932,STELLA_7312728978
MXG_59854415,STELLA_7312770867
MXG_59854461,STELLA_7312761783
MXG_60114760,STELLA_7312731016
MXG_60114761,STELLA_7312731017
MXG_60114762,STELLA_7312731018
MXG_60642418,STELLA_7312731119
MXG_60642419,STELLA_7312731120
MXG_60642420,STELLA_7312731121
MXG_61711272,STELLA_7312812665
MXG_62200801,STELLA_7312773596
MXG_62261152,STELLA_7312734639
MXG_63502556,STELLA_7312737910
MXG_63889446,STELLA_7312755349
MXG_64233636,STELLA_7312743139
MXG_64257942,STELLA_7312818389
MXG_64257957,STELLA_7312806231
MXG_64379758,STELLA_7312755851
MXG_64789073,STELLA_7312818077
MXG_64890382,STELLA_7312740250
MXG_65042365,STELLA_7312761339
MXG_65119248,STELLA_7312749288
MXG_65600521,STELLA_7312818335
MXG_66105616,STELLA_7312779946
MXG_66176394,STELLA_7312776673
MXG_66485761,STELLA_7312761862
MXG_66537671,STELLA_7312788543
MXG_66688149,STELLA_7312743751
MXG_66689582,STELLA_7312761571
MXG_67456145,STELLA_7312803207
MXG_67456146,STELLA_7312803704
MXG_67694990,STELLA_7312758272
MXG_67757112,STELLA_7312788778
MXG_67862235,STELLA_7312752494
MXG_67862317,STELLA_7312755147
MXG_67927194,STELLA_7312803462
MXG_67947264,STELLA_7312737347
MXG_68148618,STELLA_7312737542
MXG_68172832,STELLA_7312761188
MXG_68483290,STELLA_7312737485
MXG_68783577,STELLA_7312734916
MXG_68783587,STELLA_7312734747
MXG_69108471,STELLA_7312812205
MXG_69366899,STELLA_7312752962
MXG_69553880,STELLA_7312758271
MXG_69576207,STELLA_7312740629
MXG_69576326,STELLA_7312809065
MXG_69583863,STELLA_7312812872
MXG_69907375,STELLA_7312743086
MXG_69907665,STELLA_7312758712
MXG_70381952,STELLA_7312752944
MXG_70382037,STELLA_7312743112
MXG_70382145,STELLA_7312818455
MXG_70382333,STELLA_7312761934
MXG_70442722,STELLA_7312740078
MXG_70479650,STELLA_7312749350
MXG_71013627,STELLA_7312785135
MXG_71014556,STELLA_7312788604
MXG_71045487,STELLA_7312743417
MXG_71045498,STELLA_7312749714
MXG_71085005,STELLA_7312761144
MXG_71215402,STELLA_7312764816
MXG_71215584,STELLA_7312785577
MXG_71215621,STELLA_7312818134
MXG_71371384,STELLA_7312788693
MXG_71371412,STELLA_7312773843
MXG_71375525,STELLA_7312752464
MXG_71422248,STELLA_7312809725
MXG_71422256,STELLA_7312809903
MXG_71469399,STELLA_7312776992
MXG_71551653,STELLA_7312776439
MXG_71707468,STELLA_7312782437
MXG_71712520,STELLA_7312743391
MXG_71732476,STELLA_7312812178
MXG_71771452,STELLA_7312803990
MXG_71771473,STELLA_7312755285
MXG_71771487,STELLA_7312752832
MXG_71771653,STELLA_7312812763
MXG_71802212,STELLA_7312761240
MXG_71803329,STELLA_7312803715
MXG_71804868,STELLA_7312761245
MXG_71805747,STELLA_7312758064
MXG_71807707,STELLA_7312806072
MXG_71813097,STELLA_7312773024
MXG_71833753,STELLA_7312770297
MXG_71835649,STELLA_7312785086
MXG_71835654,STELLA_7312782945
MXG_71835665,STELLA_7312785132
MXG_71835697,STELLA_7312782099
MXG_71840970,STELLA_7312758385
MXG_71841612,STELLA_7312803685
